MODEL;MSAN;RIN;IP;Slot_ID;Slot_Name;Slot_Main_Mode;Slot_State;Slot_Alarm;Slot_Prop_Alarm;Port_ID;Port_Main_Mode;Port_Alarm;Port_User_Label;Port_Service_Label;Port_Description;OperationalStatus;NearEnd_CurrentAttenuation;NearEnd_CurrentMargin;NearEnd_CurrentPowerBackOff;FarEnd_CurrentAttenuation;FarEnd_CurrentMargin;FarEnd_CurrentPowerBackOff
Milegate;SPO-A63-0;a63-rin-2;10.214.3.146;unit-18;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Major;logport-7 ;port-7; Cleared   ; CLIENTE - TELMARK             ;                               ; ;Up;5;24;3;6;21;5
Milegate;SPO-B29-0;b29-rin-146;10.214.25.74;unit-18;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Warning;logport-4 ;port-4; Cleared   ; Cliente: RR CONSULTORIA ; Designador: SPO-30MJSLR3-032-04 ; ;Up;8;23;2;8;20;0
Milegate;SPO-B18-0;b18-rin-109;10.214.25.52;unit-21;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Major;logport-1 ;port-1; Cleared   ;                             ;                               ; ;Down;128;127;255;128;127;255
Milegate;SPO-A63-0;a63-rin-2;10.214.3.146;unit-18;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Major;logport-8 ;port-8; Cleared   ;                               ;                               ; ;Up;5;23;3;6;20;4
Milegate;SPO-B29-0;b29-rin-146;10.214.25.74;unit-18;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Warning;logport-6 ;port-6; Cleared   ;                         ;                                 ; ;Down;128;127;255;128;127;255
Milegate;SPO-B18-0;b18-rin-109;10.214.25.52;unit-21;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Major;logport-2 ;port-2; Cleared   ; Cliente: SIM SISTEMA        ; Designador: SPO-301KVMALC-032 ; SEC.19;Up;8;24;1;8;20;3
Milegate;SPO-B29-0;b29-rin-146;10.214.25.74;unit-18;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Warning;logport-7 ;port-7; Cleared   ; Cliente:BBK CONFECCOES  ; Designador:SPO-301K73W5K-032    ; ;Up;6;24;3;6;21;4
Milegate;SPO-B18-0;b18-rin-109;10.214.25.52;unit-21;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Major;logport-3 ;port-3; Cleared   ; CENTRO_OFTALMOLOGICO        ; SPO-301JP2BFJ-032             ; ;Up;4;24;4;4;21;5
Milegate;SPO-B18-0;b18-rin-109;10.214.25.52;unit-21;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Major;logport-4 ;port-4; Major     ; CLI_MC_TELECOMUNICACOES     ; SPO-301K7AW07-032             ; ;Down;128;127;255;128;127;255
Milegate;SPO-B18-0;b18-rin-109;10.214.25.52;unit-21;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Major;logport-6 ;port-6; Major     ; CLI_NEWBID                  ; SPO-301KDP9G3-032             ; ;Down;128;127;255;128;127;255
Milegate;SPO-B18-0;b18-rin-109;10.214.25.52;unit-21;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Major;logport-7 ;port-7; Cleared   ; Cliente: BANCO PANAMERICANO ; Designador: SPO-301KBOEA      ; ;Up;2;24;6;2;20;0
Milegate;SPO-B18-0;b18-rin-109;10.214.25.52;unit-21;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Major;logport-8 ;port-8; Major     ; Cliente:MARISA_LOJAS        ; Designador:SPO-301KDIIW0      ; ;Down;128;127;255;128;127;255
Milegate;STS-A02-4;a02-rin-163;10.209.225.6;unit-21;STIM1 R1C;stim1_r5d02_04;Ok;Cleared;Cleared;logport-2 ;port-2; Cleared   ; Cliente: CLUBE_DE_REGATAS ; Designador: STS301J5U023-032 ; ;Up;9;24;1;10;20;3
Milegate;MCZ-A15-4;a15-rin-429;10.209.21.12;unit-18;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Major;logport-2 ;port-2; Major     ; Cliente: CENTRO ONCOLOGICO ; Designador: MCZ-301KXVGT7-032 ; ;Down;128;127;255;128;127;255
Milegate;STS-A14-4;a14-rin-3;10.209.225.34;unit-20;STIM1 R1C;stim1_r5d02_04;Ok;Cleared;Cleared;logport-1 ;port-1; Cleared   ; Cliente: REAUTO VEICULOS LTDA            ; Designador: STS-301HH77NF-032 ; PAR: 380;Up;2;23;5;2;21;5
Milegate;MCZ-I01-4;i01-rin-493;10.209.21.20;unit-21;STIM1 R1B;stim1_r5d02_04;Ok;Cleared;Major;logport-1 ;port-1; Cleared   ; RADIO E TV DIARIO DE MOGI  ;                               ; ;Up;4;24;5;4;21;5
Milegate;STS-A26-4;a26-rin-103;10.209.225.166;unit-21;STIM1 R1C;stim1_r5d02_04;Ok;Cleared;Cleared;logport-1 ;port-1; Cleared   ; Cliente:SUPERMERCADO VARANDA ; Designador:STS-301CFYMXO-032 ; ;Up;4;23;3;4;21;0
Milegate;STS-A11;a11-rin-199;10.209.225.26;unit-21;STIM1 R1C;stim1_r5d02_04;Ok;Cleared;Major;logport-1 ;port-1; Cleared   ;                                    ;                           ; ;Down;128;127;255;128;127;255
Milegate;STS-A18-4;a18-rin-11;10.209.225.4;unit-18;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Major;logport-2 ;port-2; Cleared   ; LABORATORIO PASTEUR ; STS-301CGZTW5-032 ; ;Up;7;24;2;6;21;4
